depth,iteration,latency_ms,status_code,total_affected
1,1,13.957,200,100
1,2,12.78,200,100
1,3,12.368,200,100
1,4,12.342,200,100
1,5,11.899,200,100
1,6,12.446,200,100
1,7,12.298,200,100
1,8,17.036,200,100
1,9,12.957,200,100
1,10,13.064,200,100
1,11,12.737,200,100
1,12,17.607,200,100
1,13,13.523,200,100
1,14,13.311,200,100
1,15,12.583,200,100
1,16,12.788,200,100
1,17,12.189,200,100
1,18,12.311,200,100
1,19,14.92,200,100
1,20,13.317,200,100
1,21,12.725,200,100
1,22,12.055,200,100
1,23,12.023,200,100
1,24,11.713,200,100
1,25,11.811,200,100
1,26,11.643,200,100
1,27,11.489,200,100
1,28,11.074,200,100
1,29,11.153,200,100
1,30,10.798,200,100
2,1,14.585,200,100
2,2,17.087,200,100
2,3,12.884,200,100
2,4,13.21,200,100
2,5,14.798,200,100
2,6,11.935,200,100
2,7,13.702,200,100
2,8,11.785,200,100
2,9,11.413,200,100
2,10,11.607,200,100
2,11,11.725,200,100
2,12,11.189,200,100
2,13,11.53,200,100
2,14,11.293,200,100
2,15,34.776,200,100
2,16,13.324,200,100
2,17,11.171,200,100
2,18,13.383,200,100
2,19,11.274,200,100
2,20,11.896,200,100
2,21,11.659,200,100
2,22,11.818,200,100
2,23,15.472,200,100
2,24,13.02,200,100
2,25,11.797,200,100
2,26,11.302,200,100
2,27,11.022,200,100
2,28,10.991,200,100
2,29,11.991,200,100
2,30,11.722,200,100
3,1,15.708,200,100
3,2,13.929,200,100
3,3,14.136,200,100
3,4,12.519,200,100
3,5,16.014,200,100
3,6,16.012,200,100
3,7,19.062,200,100
3,8,23.212,200,100
3,9,14.751,200,100
3,10,13.585,200,100
3,11,13.638,200,100
3,12,11.494,200,100
3,13,11.115,200,100
3,14,11.125,200,100
3,15,11.584,200,100
3,16,11.506,200,100
3,17,11.747,200,100
3,18,11.285,200,100
3,19,13.239,200,100
3,20,11.454,200,100
3,21,11.164,200,100
3,22,11.567,200,100
3,23,11.071,200,100
3,24,10.756,200,100
3,25,11.227,200,100
3,26,10.86,200,100
3,27,11.079,200,100
3,28,11.061,200,100
3,29,11.415,200,100
3,30,11.414,200,100
4,1,13.255,200,100
4,2,12.192,200,100
4,3,11.508,200,100
4,4,10.778,200,100
4,5,10.293,200,100
4,6,10.421,200,100
4,7,10.131,200,100
4,8,10.468,200,100
4,9,9.858,200,100
4,10,11.338,200,100
4,11,10.239,200,100
4,12,10.205,200,100
4,13,10.393,200,100
4,14,9.993,200,100
4,15,10.022,200,100
4,16,10.056,200,100
4,17,10.316,200,100
4,18,10.538,200,100
4,19,10.914,200,100
4,20,12.53,200,100
4,21,11.62,200,100
4,22,15.671,200,100
4,23,13.704,200,100
4,24,11.037,200,100
4,25,17.32,200,100
4,26,28.716,200,100
4,27,22.383,200,100
4,28,16.342,200,100
4,29,12.384,200,100
4,30,12.943,200,100
5,1,13.011,200,100
5,2,15.59,200,100
5,3,32.441,200,100
5,4,12.115,200,100
5,5,11.353,200,100
5,6,12.082,200,100
5,7,10.989,200,100
5,8,11.702,200,100
5,9,11.882,200,100
5,10,11.147,200,100
5,11,11.444,200,100
5,12,11.321,200,100
5,13,10.841,200,100
5,14,10.156,200,100
5,15,10.654,200,100
5,16,12.088,200,100
5,17,10.861,200,100
5,18,10.619,200,100
5,19,10.229,200,100
5,20,10.32,200,100
5,21,10.713,200,100
5,22,12.208,200,100
5,23,10.984,200,100
5,24,10.772,200,100
5,25,10.574,200,100
5,26,10.498,200,100
5,27,10.085,200,100
5,28,10.64,200,100
5,29,11.151,200,100
5,30,12.766,200,100
6,1,12.602,200,100
6,2,13.51,200,100
6,3,13.804,200,100
6,4,14.251,200,100
6,5,12.772,200,100
6,6,13.191,200,100
6,7,14.391,200,100
6,8,15.551,200,100
6,9,13.532,200,100
6,10,17.061,200,100
6,11,13.937,200,100
6,12,15.266,200,100
6,13,11.17,200,100
6,14,12.618,200,100
6,15,12.357,200,100
6,16,11.464,200,100
6,17,10.963,200,100
6,18,11.575,200,100
6,19,16.003,200,100
6,20,13.662,200,100
6,21,11.276,200,100
6,22,10.869,200,100
6,23,10.301,200,100
6,24,10.665,200,100
6,25,12.033,200,100
6,26,11.588,200,100
6,27,11.102,200,100
6,28,10.775,200,100
6,29,12.14,200,100
6,30,11.487,200,100
7,1,19.684,200,100
7,2,15.465,200,100
7,3,16.792,200,100
7,4,13.795,200,100
7,5,13.014,200,100
7,6,12.771,200,100
7,7,15.964,200,100
7,8,20.247,200,100
7,9,15.401,200,100
7,10,20.591,200,100
7,11,13.923,200,100
7,12,12.012,200,100
7,13,10.927,200,100
7,14,10.935,200,100
7,15,13.246,200,100
7,16,12.617,200,100
7,17,13.176,200,100
7,18,11.17,200,100
7,19,11.094,200,100
7,20,11.169,200,100
7,21,11.059,200,100
7,22,11.092,200,100
7,23,10.627,200,100
7,24,10.829,200,100
7,25,10.736,200,100
7,26,11.384,200,100
7,27,12.112,200,100
7,28,11.371,200,100
7,29,11.612,200,100
7,30,11.828,200,100
8,1,13.09,200,100
8,2,11.327,200,100
8,3,10.629,200,100
8,4,10.638,200,100
8,5,10.152,200,100
8,6,10.88,200,100
8,7,10.843,200,100
8,8,10.809,200,100
8,9,10.567,200,100
8,10,10.519,200,100
8,11,10.292,200,100
8,12,10.217,200,100
8,13,10.46,200,100
8,14,10.415,200,100
8,15,10.659,200,100
8,16,10.699,200,100
8,17,11.066,200,100
8,18,11.034,200,100
8,19,10.873,200,100
8,20,10.651,200,100
8,21,10.695,200,100
8,22,10.923,200,100
8,23,11.498,200,100
8,24,11.573,200,100
8,25,10.735,200,100
8,26,11.061,200,100
8,27,10.567,200,100
8,28,11.224,200,100
8,29,11.272,200,100
8,30,11.052,200,100
