query,database,run,latency_ms,result_count
firmware_version starts with 3.,MongoDB,1,1.3051,25
firmware_version starts with 3.,MongoDB,2,1.3954,25
firmware_version starts with 3.,MongoDB,3,1.1129,25
firmware_version starts with 3.,MongoDB,4,1.0373,25
firmware_version starts with 3.,MongoDB,5,0.9236,25
firmware_version starts with 3.,MongoDB,6,0.878,25
firmware_version starts with 3.,MongoDB,7,0.8545,25
firmware_version starts with 3.,MongoDB,8,0.8823,25
firmware_version starts with 3.,MongoDB,9,0.8383,25
firmware_version starts with 3.,MongoDB,10,0.8486,25
firmware_version starts with 3.,PostgreSQL JSONB,1,1.3344,25
firmware_version starts with 3.,PostgreSQL JSONB,2,1.3876,25
firmware_version starts with 3.,PostgreSQL JSONB,3,1.3743,25
firmware_version starts with 3.,PostgreSQL JSONB,4,1.377,25
firmware_version starts with 3.,PostgreSQL JSONB,5,1.3795,25
firmware_version starts with 3.,PostgreSQL JSONB,6,1.3851,25
firmware_version starts with 3.,PostgreSQL JSONB,7,5.6285,25
firmware_version starts with 3.,PostgreSQL JSONB,8,1.5212,25
firmware_version starts with 3.,PostgreSQL JSONB,9,1.4484,25
firmware_version starts with 3.,PostgreSQL JSONB,10,1.4287,25
smart_meter rated_voltage > 230,MongoDB,1,0.8398,18
smart_meter rated_voltage > 230,MongoDB,2,0.9002,18
smart_meter rated_voltage > 230,MongoDB,3,0.9298,18
smart_meter rated_voltage > 230,MongoDB,4,0.8131,18
smart_meter rated_voltage > 230,MongoDB,5,0.7056,18
smart_meter rated_voltage > 230,MongoDB,6,0.7552,18
smart_meter rated_voltage > 230,MongoDB,7,0.7278,18
smart_meter rated_voltage > 230,MongoDB,8,0.831,18
smart_meter rated_voltage > 230,MongoDB,9,0.9441,18
smart_meter rated_voltage > 230,MongoDB,10,0.8422,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,1,1.1851,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,2,1.1975,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,3,1.2068,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,4,1.1947,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,5,1.2227,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,6,1.2062,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,7,1.2244,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,8,1.2214,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,9,1.2075,18
smart_meter rated_voltage > 230,PostgreSQL JSONB,10,1.2102,18
count grouped by type,MongoDB,1,0.419,4
count grouped by type,MongoDB,2,0.3691,4
count grouped by type,MongoDB,3,0.424,4
count grouped by type,MongoDB,4,0.5031,4
count grouped by type,MongoDB,5,0.3352,4
count grouped by type,MongoDB,6,0.2132,4
count grouped by type,MongoDB,7,0.1739,4
count grouped by type,MongoDB,8,0.1596,4
count grouped by type,MongoDB,9,0.1546,4
count grouped by type,MongoDB,10,0.1529,4
count grouped by type,PostgreSQL JSONB,1,0.043,4
count grouped by type,PostgreSQL JSONB,2,0.0408,4
count grouped by type,PostgreSQL JSONB,3,0.0371,4
count grouped by type,PostgreSQL JSONB,4,0.0368,4
count grouped by type,PostgreSQL JSONB,5,0.0383,4
count grouped by type,PostgreSQL JSONB,6,0.0362,4
count grouped by type,PostgreSQL JSONB,7,0.0358,4
count grouped by type,PostgreSQL JSONB,8,0.036,4
count grouped by type,PostgreSQL JSONB,9,0.0362,4
count grouped by type,PostgreSQL JSONB,10,0.0357,4
